secondamendmentdaily.com,2nd Amendment Daily News ,extremeright,none,Low
3CCorp.net,3CCorp.net,extremeright,none,Low
100percentfedup.com,100% Fed up ,extremeright,none,Low
10news.one,10News.one ,extremeright,none,Low
12minutos.com,12minutos.com,none,none,Low
us24news.com,24 News ,extremeright,none,Low
avoiceformen.com,A Voice for Men ,right,none,Low
Action News 3,Action News 3,none,none,VeryLow
activistmommy.com,Activist Mommy ,right,none,Low
adamscountytimes.com,Adams County Times ,rightcenter,none,Mixed
AjuaNews.com,AjuaNews.com,extremeright,none,VeryLow
english.alarabiya.net,Al Arabiya ,rightcenter,none,Mixed
albawaba.com,Al Bawaba ,rightcenter,none,Mixed
allnewspipeline.com,All News Pipeline ,extremeright,none,Low
adflegal.org,Alliance Defending Freedom ,extremeright,none,Low
english.almanar.com.lb,Al Manar ,rightcenter,none,Mixed
almasdarnews.com,Al- Masdar News ,right,none,Mixed
alphanewsmn.com,Alpha News ,extremeright,none,Low
AltRight.com,AltRight.com,right,none,Low
americadaily.com,America Daily ,extremeright,none,Mixed
americamaxnews.com,America Max News ,right,none,Low
americatalks.com,America Talks with David Zublick ,extremeright,none,VeryLow
americanactionnews.com,American Action News ,right,none,Mixed
acpeds.org,American College of Pediatricians ,right,none,Low
americanconservativemedia.com,American Conservative Media ,right,none,Mixed
afa.net,American Family Association ,extremeright,none,Low
americasfreedomfighters.com,American Freedom Fighters ,right,none,Low
americanjournalreview.com,American Journal Review ,extremeright,none,Low
americanlookout.com,American Lookout ,extremeright,none,Low
americanpatriotdaily.com,American Patriot Daily ,extremeright,none,Low
americanpeopledaily.com,American People Daily ,extremeright,none,Low
americanprinciplesproject.org,American Principles Project ,extremeright,none,Low
amren.com,American Renaissance Magazine ,extremeright,none,Low
tfp.org,"American Society for the Defense of Tradition, Family, and Property ",extremeright,none,Low
americantruthtoday.com,American Truth Today ,extremeright,none,Low
awm.com,American Web Media ,right,none,Mixed
americansarepissed.com,Americans Are Pissed ,extremeright,none,Low
americansfortruth.com,Americans for Truth ,extremeright,none,VeryLow
americasnewssource.com,America’s News Source ,extremeright,none,VeryLow
Amity Underground,Amity Underground,left,none,Mixed
analyzingamerica.org,Analyzing America ,extremeright,none,Mixed
anonews.co,Anonymous News ,leftcenter,none,Mixed
antelopevalleytoday.com,Antelope Valley Today ,rightcenter,none,Mixed
arabnews.com,Arab News ,rightcenter,none,Mixed
archaeology-world.com,Archaeology World ,none,none,dFactual
aapsonline.org,Association of American Physicians and Surgeons ,extremeright,none,Low
auburntimes.com,Auburn Times ,rightcenter,none,Mixed
backroombuzz.com,Backroom Buzz ,extremeright,none,Low
baldwintimes.com,Baldwin Times ,rightcenter,none,Mixed
bannedinformation.com,Banned Information ,extremeright,none,Mixed
barenakedislam.com,Bare Naked Islam ,extremeright,none,Low
basnews.com,Basnews Agency ,left,none,Mixed
bb4sp.com,BB4SP ,extremeright,none,Low
en.bbarta24.net,Bbarta24 ,leftcenter,none,Mixed
BDnews24.com,BDnews24.com,leftcenter,none,Mixed
beforeitsnews.com,Before It’s News ,extremeright,none,Low
bjreview.com,Beijing Review ,leftcenter,none,Mixed
bentontimes.com,Benton Times ,rightcenter,none,Mixed
bestdailynews.info,Best Daily News ,extremeright,none,Low
bigleaguepolitics.com,Big League Politics ,extremeright,none,Low
billionbibles.org,BillionBibles.org ,right,none,VeryLow
bipartisanreport.com,Bipartisan Report ,Left,none,Mixed
bitchute.com,BitChute ,extremeright,none,VeryLow
blackeyepolitics.com,Black Eye Politics ,extremeright,none,Low
blackgenocide.org,Black Genocide ,extremeright,none,Low
Blacknews.com,Blacknews.com,left,none,Mixed
blackpigeonspeaks.com,Black Pigeon Speaks ,extremeright,none,Low
blingnews.com,Blingnews.com ,extremeright,none,Low
bluedotdaily.com,Blue Dot Daily ,extremeleft,none,Mixed
bluntforcetruth.com,Blunt Force Truth ,extremeright,none,Low
Bongino.com,Bongino.com,right,none,Mixed
bossip.com,Bossip ,extremeleft,none,Mixed
breaking911.com,Breaking911 ,none,none,VeryLow
breakingchristiannews.com,Breaking Christian News ,extremeright,none,Low
breakingfirst.com,Breaking First ,extremeright,none,Low
Breakingnews247.net,Breakingnews247.net,none,none,Low
breakingnewshouse.com,Breaking News House ,extremeright,none,Low
breakingwide.com,Breaking Wide ,right,none,Mixed
bridgeporttimes.com,Bridgeport Times ,rightcenter,none,Mixed
Britain First,Britain First,extremeright,none,Low
caixinglobal.com,Caixin Global ,rightcenter,none,Mixed
caldronpool.com,Caldron Pool ,extremeright,none,Mixed
canadafreepress.com,Canada Free Press ,extremeright,none,Low
cap-news.com,Cap News ,none,none,VeryLow
english.cctv.com,CCTV International ,leftcenter,none,Mixed
centennialstatenews.com,Centennial State News ,rightcenter,none,Mixed
trueactivist.com,Center for Immigration Studies ,right,none,Low
researchantisemitism.ca,Center for Research of Radicalism and National Security ,right,none,Low
centerforsecuritypolicy.org,Center for Security Policy ,extremeright,none,Mixed
centralcoloradonews.com,Central Colorado News ,rightcenter,none,Mixed
centraloctimes.com,Central OC Times ,rightcenter,none,Mixed
cernovich.com,Cerno ,extremeright,none,Mixed
checkpointasia.net,Checkpoint Asia ,right,none,Low
chicotimes.com,Chico Times ,rightcenter,none,Mixed
chinadaily.com.cn,China Daily ,left,none,Mixed
america.cgtn.com,China Global Television Network ,leftcenter,none,Mixed
christianaction.org,Christian Action Network ,extremeright,none,Low
churchmilitant.com,Church Militant ,extremeright,none,Mixed
clarionproject.org,Clarion Project ,extremeright,none,Low
clashdaily.com,Clash Daily ,extremeright,none,Low
cloverchronicle.com,Clover Chronicle ,right,none,VeryLow
coachellatoday.com,Coachella Today ,rightcenter,none,Mixed
coconinonews.com,Coconino News ,rightcenter,none,Mixed
cei.org,Competitive Enterprise Institute ,right,none,Low
concernedwomen.org,Concerned Women for America ,extremeright,none,Low
conservapedia.com,Conservapedia ,extremeright,none,Mixed
conservativeammo.com,Conservative Ammo ,extremeright,none,Low
conservativebeaver.com,Conservative Beaver ,extremeright,none,VeryLow
